12:54:05.362 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/equipment/add/do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.equipment.controller.EquipmentController.addNewEquipment(nanqu.djtu.pojo.Equipment,org.springframework.web.servlet.mvc.support.RedirectAttributes,javax.servlet.http.HttpSession)
12:54:05.363 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/equipment/distinct/buildings],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.util.List<nanqu.djtu.pojo.PlaceBuilding>> nanqu.djtu.admin.equipment.controller.EquipmentController.listBuildingWithDistinct(nanqu.djtu.pojo.PlaceDistinct)
12:54:05.363 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/equipment/unique/equipmentNumber],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public boolean nanqu.djtu.admin.equipment.controller.EquipmentController.uniqueEquipmentNumber(nanqu.djtu.pojo.Equipment)
12:54:05.363 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/equipment/route/page],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> nanqu.djtu.admin.equipment.controller.EquipmentController.routePageEquipment(nanqu.djtu.pojo.Equipment,org.springframework.data.domain.Pageable)
12:54:05.363 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/equipment/building/rooms],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.util.List<nanqu.djtu.pojo.PlaceRoom>> nanqu.djtu.admin.equipment.controller.EquipmentController.listRoomWithBuildingId(nanqu.djtu.pojo.PlaceBuilding)
12:54:05.363 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/equipment/room/sets],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.util.List<nanqu.djtu.pojo.EquipmentSet>> nanqu.djtu.admin.equipment.controller.EquipmentController.listRoomEquipmentSets(nanqu.djtu.pojo.PlaceRoom)
12:54:05.364 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/equipment/delete/{equipmentId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.equipment.controller.EquipmentController.deleteEquipment(java.lang.String,org.springframework.web.servlet.mvc.support.RedirectAttributes,javax.servlet.http.HttpSession)
12:54:05.364 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/home/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView nanqu.djtu.admin.home.HomeController.homeIndex()
12:54:05.365 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/maintenance/list/manage/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.maintenance.list.manage.controller.MaintenanceListController.index()
12:54:05.365 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/maintenance/list/manage/buildings],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.util.List<nanqu.djtu.pojo.PlaceBuilding>> nanqu.djtu.admin.maintenance.list.manage.controller.MaintenanceListController.buildings(nanqu.djtu.pojo.PlaceDistinct)
12:54:05.365 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/maintenance/list/manage/details/route/{listNumber}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView nanqu.djtu.admin.maintenance.list.manage.controller.MaintenanceListController.routeEdit(java.lang.String)
12:54:05.366 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/maintenance/list/manage/route/page],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> nanqu.djtu.admin.maintenance.list.manage.controller.MaintenanceListController.listFirstPage(nanqu.djtu.pojo.MaintenanceList,org.springframework.data.domain.Pageable)
12:54:05.366 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/maintenance/list/manage/rooms],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.util.List<nanqu.djtu.pojo.PlaceRoom>> nanqu.djtu.admin.maintenance.list.manage.controller.MaintenanceListController.listRoomWithBuildingId(nanqu.djtu.pojo.PlaceBuilding)
